date,open,high,low,close,volume,diff,ration,real
2016/9/8,84.2,85.2,84.2,85.2,4934,-6.2,-0.072769953,0
2016/9/9,83.2,84.9,83.2,84.1,5430,-8.8,-0.104637337,0
2016/9/10,82.6,83,81.4,82.2,5604,0.6,0.00729927,1
2016/9/12,82.3,83.1,81,81,7212,-1,-0.012345679,1
2016/9/13,82.5,82.5,79,79,13706,5.8,0.073417722,2
2016/9/14,78,78.9,74.1,75.3,25352,9.3,0.123505976,2
2016/9/19,76,82.8,75.4,82.8,21853,1.5,0.018115942,1
2016/9/20,82.8,83.2,80,80,17560,4,0.05,2
2016/9/21,80,86.7,79.6,84.8,28389,1.2,0.014150943,1
2016/9/22,86.4,87.9,84.6,84.6,18549,2.5,0.029550827,1
2016/9/23,85.1,86,84.2,84.3,8485,2.8,0.033214709,2
2016/9/26,85,85,83.5,84,6641,3.3,0.039285714,2
2016/9/29,85,88.8,84.5,86,21572,0.4,0.004651163,1
2016/9/30,85.9,88,84.8,87.1,18311,2,0.022962113,1
2016/10/3,88.1,89.4,87.1,87.1,11670,2.6,0.029850746,1
2016/10/4,87.1,88.2,86.5,87.3,9537,7.5,0.085910653,2
2016/10/5,87.5,87.6,86.4,86.4,7244,6.8,0.078703704,2
2016/10/6,86.5,89.3,86.2,89.1,14104,1.2,0.013468013,1
2016/10/7,93,93.3,89.7,89.7,25443,1.5,0.016722408,1
2016/10/11,92.2,94.8,91.3,94.8,31949,-3.6,-0.037974684,0
2016/10/12,95.2,96,93.2,93.2,23189,-1,-0.010729614,1
2016/10/13,93.9,94.4,90.3,90.3,16143,4.4,0.048726467,2
2016/10/14,90,92.3,89.5,91.2,12471,2.4,0.026315789,1
2016/10/17,92,92,89.6,91.2,7451,3.5,0.038377193,2
2016/10/18,92.3,94.7,91.8,92.2,17289,2.2,0.023861171,1
2016/10/19,93.3,94.9,92.8,94.7,17375,-2.8,-0.029567054,1
2016/10/20,95.6,96.4,93.2,93.6,17008,0.1,0.001068376,1
2016/10/21,94.3,94.8,93.2,94.7,9789,-2.2,-0.023231257,1
2016/10/24,95.2,95.9,94.1,94.4,6545,-2,-0.021186441,1
2016/10/25,94.2,94.9,91.5,91.9,11113,0.5,0.005440696,1
2016/10/26,92.7,94.8,92.6,93.7,14148,-1.9,-0.020277481,1
2016/10/27,94.6,94.6,91.8,92.5,10952,-0.1,-0.001081081,1
2016/10/28,93.8,93.9,91.6,92.4,8604,-6.2,-0.067099567,0
2016/10/31,93.2,93.7,92.2,92.4,7991,-6.9,-0.074675325,0
2016/11/1,92,92.4,90.6,91.8,6495,-7.4,-0.080610022,0
2016/11/2,92.1,92.5,91.3,92.4,7393,-6.7,-0.072510823,0
2016/11/3,91.3,92.6,86.2,86.2,22378,-5.6,-0.064965197,0
2016/11/4,85.5,86,83.4,85.5,14664,-1.2,-0.014035088,1
2016/11/7,84.4,84.9,83.2,84.4,9485,-4,-0.047393365,0
2016/11/8,85,85.9,84.6,85.7,6496,-8.9,-0.103850642,0
2016/11/9,86.5,86.8,80.5,80.6,15438,-2.2,-0.027295285,1
2016/11/10,84.2,84.3,82.3,84.3,8871,-5,-0.059311981,0
2016/11/11,81.2,82.8,79.5,80.4,13398,-1.1,-0.013681592,1
2016/11/14,79,79.4,75.8,76.8,19879,7.2,0.09375,2
2016/11/15,76.8,78.8,76.8,78.4,7938,4.1,0.052295918,2
2016/11/16,78.8,79.9,78.4,79.3,9490,2.4,0.030264817,2
2016/11/17,79.5,79.8,77.7,79.3,6072,3.4,0.042875158,2
2016/11/18,79.9,85.2,79.1,84,19493,-0.5,-0.005952381,1
2016/11/21,83,83.5,82.1,82.5,8405,0.2,0.002424242,1
2016/11/22,82.5,83.9,81.7,81.7,8377,2.2,0.026927785,1
2016/11/23,83,83.4,82.2,82.7,6138,1.9,0.022974607,1
2016/11/24,82.8,83.5,81.7,83.5,7904,0.8,0.009580838,1
2016/11/25,83.8,84.1,82.7,82.7,4838,1.7,0.020556227,1
2016/11/28,83.2,84.1,82.8,83.9,5337,-1.5,-0.017878427,1
2016/11/29,83.9,85.3,82.9,84.6,7396,-2,-0.023640662,1
2016/11/30,84.5,85.5,83.5,84.3,10467,-1.5,-0.017793594,1
2016/12/1,85,86.4,84.4,84.4,8904,-4.3,-0.050947867,0
2016/12/2,83.8,83.9,82,82.4,6421,-2.1,-0.025485437,1
2016/12/5,82.5,83.2,81.4,82.6,5007,-0.7,-0.008474576,1
2016/12/6,83.3,83.9,82.7,82.8,4221,-1.7,-0.020531401,1
2016/12/7,80.5,81.5,80.1,80.1,13795,0.5,0.006242197,1
2016/12/8,80.6,81.1,80.1,80.3,6487,-0.3,-0.00373599,1
2016/12/9,80.6,82.3,79,81.9,10094,-2.1,-0.025641026,1
2016/12/12,82,82.5,81,81.1,4347,-1.6,-0.01972873,1
2016/12/13,80.9,81.5,80.6,80.6,4805,-1.5,-0.018610422,1
2016/12/14,80.9,81.5,80,80,5801,0.5,0.00625,1
2016/12/15,79.5,80,79.1,79.8,5857,0.1,0.001253133,1
2016/12/16,80,81,79.5,79.5,5562,-1.4,-0.017610063,1
2016/12/19,79.5,80.4,79,79.1,3913,-1.9,-0.024020228,1
2016/12/20,79.9,80.6,79.3,80.5,5302,-2.5,-0.031055901,0
2016/12/21,80.5,80.5,79.2,79.9,5300,-1.8,-0.02252816,1
2016/12/22,79.3,79.8,77.7,78.1,9424,0.2,0.002560819,1
2016/12/23,78,78.1,76.8,77.2,6596,0.6,0.007772021,1
2016/12/26,77,78.3,77,78,4005,1,0.012820513,1
2016/12/27,78,78.9,77.5,78.1,3521,1.1,0.014084507,1
2016/12/28,77.7,78.8,77.6,78.3,4381,3.5,0.044699872,2
2016/12/29,77.8,78.4,77.7,77.8,2625,3.5,0.044987147,2
2016/12/30,78,79.3,78,79,3924,2.2,0.027848101,1
2017/1/3,79.2,79.6,78.8,79.2,2989,0,0,1
2017/1/4,79.7,82.7,79.6,81.8,16735,-3.2,-0.039119804,0
2017/1/5,82.5,82.8,81.1,81.3,6363,-1.9,-0.023370234,1
2017/1/6,81.8,81.9,81,81.2,3253,-1.7,-0.020935961,1
2017/1/9,80.6,80.6,78.6,79.2,9593,-0.1,-0.001262626,1
2017/1/10,78.5,78.8,77.5,78.6,6223,0.2,0.002544529,1
2017/1/11,78.5,79.7,78,79.4,4588,0.1,0.001259446,1
2017/1/12,79.5,80.5,79.5,79.5,4717,2.6,0.032704403,2
2017/1/13,80,80.4,79.1,79.1,3573,1.3,0.016434893,1
2017/1/16,78.9,79.1,78.1,78.8,3134,0.8,0.010152284,1
2017/1/17,79.4,79.9,79.1,79.5,2359,-0.8,-0.010062893,1
2017/1/18,79.4,82.3,79.4,82.1,12690,-2.8,-0.03410475,0
2017/1/19,82.1,82.4,80.4,80.4,5791,-2.1,-0.026119403,1
2017/1/20,81,81.8,79.6,79.6,5844,-1.4,-0.01758794,1
2017/1/23,78.8,79.6,78.5,78.7,8307,-0.1,-0.001270648,1
2017/1/24,78.7,79.9,78.7,79.3,4389,-2.4,-0.030264817,0
2017/2/2,80,80,77.6,78.3,7375,-1.5,-0.019157088,1
2017/2/3,78.3,78.8,77.3,78.2,5849,-1.4,-0.017902813,1
2017/2/6,77.6,80,77.6,78.6,7094,-1.6,-0.020356234,1
2017/2/7,76.1,76.9,75.3,76.9,12017,0.3,0.00390117,1
2017/2/8,77.1,77.6,76.2,76.8,7040,-0.6,-0.0078125,1
2017/2/9,76.8,78.2,76.3,76.8,8504,2.1,0.02734375,1
2017/2/10,77.4,78.7,77,77,8956,1.5,0.019480519,1
2017/2/13,78.2,78.4,77.2,77.2,6443,0.3,0.00388601,1
2017/2/14,77.3,78.1,76.1,76.2,8325,1.5,0.019685039,1
2017/2/15,76,83.8,76,78.9,47120,0.2,0.002534854,1
2017/2/16,80.1,81,78.5,78.5,16223,0.9,0.011464968,1
2017/2/17,78.8,79,77.2,77.5,9211,0.9,0.011612903,1
2017/2/18,78,79.1,77.7,77.7,4660,0,0,1
2017/2/20,78.5,82.5,77.8,79.1,23590,-0.2,-0.002528445,1
2017/2/21,80,80.8,78.6,79.4,9110,-1.5,-0.018891688,1
2017/2/22,80,80,78.3,78.4,9695,-0.7,-0.008928571,1
2017/2/23,78.8,79,77.6,77.7,7771,0.1,0.001287001,1
2017/2/24,78,79.4,77.8,78.9,5900,-2.5,-0.031685678,0
2017/3/1,79.3,79.8,77.9,77.9,6867,-0.7,-0.008985879,1
2017/3/2,78.5,78.8,77.5,77.7,4952,-0.8,-0.01029601,1
2017/3/3,78,79.4,77.7,77.8,6603,-1.6,-0.020565553,1
2017/3/6,78.4,78.4,74.5,76.4,16150,0.1,0.001308901,1
2017/3/7,76.8,77.4,76,77.2,5360,-1.3,-0.016839378,1
2017/3/8,77.5,77.5,76.8,76.9,2926,-0.7,-0.009102731,1
2017/3/9,76.9,76.9,76.2,76.2,3269,-0.3,-0.003937008,1
2017/3/10,76.4,76.7,74.7,76.5,6680,-0.7,-0.009150327,1
2017/3/13,77,77,75.9,75.9,3001,-0.4,-0.005270092,1
2017/3/14,76.1,76.8,76,76.2,5232,0.3,0.003937008,1
2017/3/15,76.1,76.4,75.8,75.9,7310,0.5,0.006587615,1
2017/3/16,76.6,76.9,75.8,75.8,4325,1,0.013192612,1
2017/3/17,76,76.3,75.5,75.5,4344,2.1,0.02781457,1
2017/3/20,76,77.8,75.6,76.5,6699,0.6,0.007843137,1
2017/3/21,77.2,77.3,76.3,76.4,3338,0.3,0.003926702,1
2017/3/22,76.1,76.8,75.4,76.8,3367,0.8,0.010416667,1
2017/3/23,76.9,78.9,76.8,77.6,12310,0.4,0.005154639,1
2017/3/24,78,78.6,77.1,77.1,4987,0.4,0.005188067,1
2017/3/27,76.5,77.2,76.4,76.7,3183,0.8,0.010430248,1
2017/3/28,77.8,80,76.6,77.6,20376,1.4,0.018041237,1
2017/3/29,78.2,78.9,77.7,78,4898,1.2,0.015384615,1
2017/3/30,78.4,78.6,77.5,77.5,4316,2,0.025806452,1
2017/3/31,77.9,79.2,77.5,77.5,7676,1,0.012903226,1
2017/4/5,78.7,79.3,78.3,79,9800,-1.2,-0.015189873,1
2017/4/6,79.4,80,78.6,79.2,6824,-1.3,-0.016414141,1
2017/4/7,80.6,81.5,79.5,79.5,18117,-3,-0.037735849,0
2017/4/10,80.6,80.6,78.5,78.5,4024,-4,-0.050955414,0
2017/4/11,78.7,79,77.7,77.8,3326,-5.8,-0.074550129,0
2017/4/12,78,78.7,77.6,77.9,3337,-5.7,-0.073170732,0
2017/4/13,77.5,77.5,76.5,76.5,6353,-5.7,-0.074509804,0
2017/4/14,76,76.4,74.5,74.5,8982,-4.2,-0.056375839,0
2017/4/17,74,74.2,70.7,72,13817,-1.3,-0.018055556,1
2017/4/18,72.5,72.9,71.8,72.2,5256,-1.2,-0.016620499,1
2017/4/19,71.9,71.9,70.1,70.8,9869,0.7,0.009887006,1
2017/4/20,70.8,71.9,70.3,70.3,5182,1.3,0.018492176,1
2017/4/21,71.2,71.5,70.3,70.7,4365,2,0.028288543,1
2017/4/24,71.3,71.7,70.1,71,4175,1.4,0.01971831,1
2017/4/25,71.5,71.6,70.9,71.5,3195,-0.6,-0.008391608,1
2017/4/26,71.7,72.2,71.4,71.6,3573,-0.7,-0.009776536,1
2017/4/27,72,73.5,71.7,72.7,4769,-1,-0.013755158,1
2017/4/28,73.5,74,72.4,72.4,5352,-1.4,-0.019337017,1
2017/5/2,72.6,72.9,70.8,70.9,7115,-3,-0.042313117,0
2017/5/3,71.1,72,70.9,70.9,3700,-7.9,-0.111424542,0
2017/5/4,71.3,71.7,71,71.7,2379,-2.4,-0.033472803,0
2017/5/5,71.8,72,71,71,2397,-2,-0.028169014,1
2017/5/8,70.3,70.4,67.2,67.9,12469,2.5,0.036818851,2
2017/5/9,67.5,67.7,61.6,63,24117,7.4,0.117460317,2
2017/5/10,65,69.3,65,69.3,29260,0.5,0.007215007,1
2017/5/11,69.5,69.7,67.6,69,13943,2.2,0.031884058,2
2017/5/12,69,73.6,68.1,70.4,23051,1.3,0.018465909,1
2017/5/15,71,71.8,70.4,70.4,7799,0.1,0.001420455,1
2017/5/16,70.9,71.3,69.5,69.8,7010,0.8,0.011461318,1
2017/5/17,71.9,73.3,70.6,71.2,19239,-0.8,-0.011235955,1
2017/5/18,70.4,72,69.6,71.7,8081,-1.2,-0.016736402,1
2017/5/19,71.9,72.1,70.5,70.5,6144,0.8,0.011347518,1
2017/5/22,70.7,71.5,70.6,70.6,3886,1,0.014164306,1
2017/5/23,70.6,71,70.4,70.4,3041,2.3,0.032670455,2
2017/5/24,71.3,71.6,70.5,70.5,4606,1.1,0.015602837,1
2017/5/25,70.9,71.5,70.7,71.3,4581,0.2,0.002805049,1
2017/5/26,71.6,72.2,71,71.6,4993,0.4,0.005586592,1
